Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22uF,
"C10, C119, C120, C14, C30, C31",0402,6,100pF,
"C100, C105, C106, C110, C115, C116, C139, C140, C141, C146, C147, C39, C80, C81, C90, C91, C99",0402,17,100nF,
"C101, C102, C103, C104, C107, C138, C17, C20, C38, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C92, C93, C97, C98, CA1, CA11, CA8",0402,26,0.1uF,
"C108, C109, C5, C51",0805,4,10uF,
"C11, C12, C13, C15, C16, C18, C19, C25, C28, C29, C32, C33, C34, C35, C36, C59, C6, CA2, CA7, CA9",0603,20,10uF,
"C111, C112, C114, C118, C148, C56, C57, C58, C62, C63, C68, C70",0402,12,1uF,
"C113, C135, C94, C95, C96",0402,5,10uF,
"C117, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C136, C137, C22, C24, C52, C54, C55, C60, C61, C64, C66, C69, C71, C74, C75",0402,30,10nF,
"C149, C150",0402,2,22pf,
"C21, C23, C26, C27",1206,4,47uF,
C3,0805,1,100uF,
"C37, C50, CA10",0603,3,4.7uF,
C4,0805,1,22uF,
C53,0805,1,0.1uF,
"C65, C67, C72, C73, C82, C83, C84, C85, C86, C87, C88, C89, CA5, CA6",0402,14,18pF,
"C7, C8",1206,2,10uF,
"C76, C77, C78, C79",0402,4,1nF,
C9,0805,1,1uF,
"CA3, CA4",0402,2,12pF,
CY1,ASDMB-33.333MHZ-XY-T,1,ASDMB-33.333MHZ-XY-T,
CY2,ABM8AIG-33.000MHZ-12-D2Z-T,1,ABM8AIG-33.000MHZ-12-D2Z-T,
D1,D_SOD-123,1,DSK24,
D2,SOT-23-3,1,WSB5522F-3/TR,
"D3, D4",0603,2,LED6,
J13,5025700893,1,5025700893,
"L1, L4, L7, L8, L9",0603,5,2.2uH,
L10,0603,1,BLM18PG181SN1,AD93
"L11, L13",0402,2,330nH,
"L12, L14",0402,2,330nF,
L2,BLM18AG601SN1D,1,BLM18AG601SN1D,
"L3, L5",7427920415,2,7427920415,
L6,BLM15AG601SN1D,1,BLM15AG601SN1D,
"Q1, Q2",SOT-23,2,S8050,
"Q3, Q4",SOT23 MOSFET FOOT PRINT,2,~,
"QA1, QA2, QA3",HR8031GS6,3,HR8031GS6,
"R1, RA19, RA20",0402,3,33R,
"R10, R4, R8",0402,3,7.5K,
"R11, R9",0402,2,12K,
R12,0402,1,3.3K,
"R13, R39, R40, R41, R42, R43, R46, R51, R52, R53, RA28, RA29",0402,12,4.7K,
R14,0402,1,15K,
"R15, R2, R22, R3, R56, R7, RA6",0402,7,10K,
"R16, R17, R18, R19, R20, R24, R25, R26",0402,8,4K7,
R21,0402,1,1K5,
R23,0402,1,2.49K%1,
"R27, R28",0402,2,510R,
R29,Potentiometer_Bourns_3214W_Vertical,1,50K,
R30,0402,1,ESD,
"R31, R32",0402,2,1R,
"R33, R34, R35, R36, R44, R45, RA1, RA2",0402,8,2.4K,
"R37, R38, R48",0402,3,80.6R,
R47,0402,1,240R,
R5,0402,1,2K,
"R6, RA11, RA13, RA15, RA16, RA17, RA21, RA22, RA23, RA25, RA27, RA9",0402,12,20K,
RA10,0402,1,8.06K,
"RA12, RA14, RA18",0402,3,1K,
"RA24, RA26",0402,2,100K,
RA3,0603,1,4.7K,
RA4,0603,1,5.1K,
RA5,0603,1,0R,
RA7,0402,1,1M,
RA8,0402,1,14.3K,
"T1, T2, T3, T4",XFMR_TCM1-63AX+,4,TCM1-63AX+,
U1,SOP-4_4.4x2.6mm_P1.27mm,1,TCMT1107,
U10,RTL8211E-VB-CG,1,RTL8211E-VB-CG,
"U11, U17, U9",RT9193-33GB,3,RT9193-33GB,
U12,AD9363BBCZ,1,AD9363BBCZ,
U13,USB3320C-EZK-TR,1,USB3320C-EZK-TR,
U14,XC7Z010-1CLG400I,1,XC7Z010-1CLG400I,
U15,MX25U1635EZNI-10G,1,MX25U1635EZNI-10G,
U16,TXS02612RTWR,1,TXS02612RTWR,
U18,H5TQ4G63EFR-RDC,1,H5TQ4G63EFR-RDC,
U19,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA03,
U2,SY6280AAC,1,SY6280AAC,
U21,IC_BNO080,1,BNO085,
"U3, U7, U8",TCS4615,3,TCS4615,
U4,TCS4615,1,TCS4615 ,
"U5, U6",TPS7A8101DRBT,2,TPS7A8101DRBT,
"V1, V2, V3",HR02X5V,3,HR02X5V,
Y1,TSX-3225 25.0000MF10P-C0,1,25MHz,TSX-3225 25.0000MF10P-C0
Y2,TSX-3225 25.0000MF10P-C0,1,25MHz ,
Y3,Crystal_SMD_Qantek_QC5CB-2Pin_5x3.2mm,1,32.768kHz,
